"id","name","street_address","city","state","zip_code","gps_latitude","gps_longitude","website","star_ranking","hospital_description","owner_name"
1,"Utah Valley Hospital","1034 N 500 W","Provo","UT",84604,40.2416657,-111.6594974,"https://intermountainhealthcare.org/locations/utah-valley-hospital/",4,"Utah Valley Hospital in Provo, Utah is the only designated Level II Trauma Center between the Salt Lake Valley and St. George. Situated in the heart of Utah County, our expert physicians, nurses, and care teams are specially trained to treat a wide range of patients, from those with the most severe injuries or illnesses to those undergoing a routine surgery or delivering a baby. Utah Valley is licensed for 395 beds. It houses a 46-bed emergency department and is home base for a Life Flight crew 24/7. The hospital is a designated Stroke Center of Excellence and maintains Utah County’s only medical hyperbaric chambers. More than 4,400 babies are born each year at the hospital, and our Newborn ICU physicians provide advanced neonatology care to struggling infants across central and southern Utah. We are accredited by the Joint Commission, complying with the highest national standards for safety and quality of care. We are also committed to improving the overall health of our local communities.","Intermountain Healthcare"
2,"Orem Community Hospital","331 N 400 W St","Orem","UT",84057,40.30166546,-111.7049972,NULL,NULL,"Orem Community Hospital is a leading-edge healthcare facility where patients find easy access to highly skilled and friendly caregivers. Orem Community excels in labor and delivery and is consistently rated in the top percentile nationwide for patient’s likelihood to recommend.  With the unique ability to labor, deliver and recover all in the same beautiful suite, supported by a highly experienced team, thousands of mothers have chosen Orem Community as their hospital of choice for childbirth. In addition to maternity care, this comprehensive community hospital offers emergency, surgical, laboratory and outpatient imaging services, including MRI and is the centralized location for pediatric and neuro rehabilitation for the region.","Intermountain Healthcare"
3,"Spanish Fork Hospital","765 E Mkt Pl Dr","Spanish Fork","UT",84660,40.11496,-111.65492,NULL,NULL,"Conveniently located just three blocks north of U.S. Highway 6, Spanish Fork Hospital can be accessed by all residents of south Utah County. The hospital provides a wide range of diagnostic and treatment options for patients who prefer a community hospital setting. If more advanced care becomes necessary, the Spanish Fork care team will make all necessary arrangements for transport.","Intermountain Healthcare"
4,"American Fork Hospital","170 N 1100 E","American Fork","UT",84003,40.3796,-111.7669,NULL,4,"American Fork Hospital is a nationally recognized community hospital with a commitment to meeting the healthcare needs of the rapidly growing population in North Utah County. We offer state-of-the art technology, 90 beds, and a medical staff of more than 300 doctors representing 30 specialties. We are committed to offering a wide range of quality inpatient and outpatient services, including a fully equipped emergency department. With our highly experienced team of women’s and newborn caregivers, American Fork Hospital has become a top choice for maternity services. Our Level II newborn intensive care unit (NICU) is expanding and we’ve added an on-site lactation clinic to support our smallest patients.","Intermountain Healthcare"
5,"Riverton Hospital","3741 W 12600 S","Riverton","UT",84065,40.5205,-111.9805,NULL,4,"Riverton Hospital was the first hospital in Utah to house a special pediatric unit operated by Primary Children’s Hospital. Your child can receive the world-class care Primary Children’s is known for, closer to home, which will reduce travel time for you while your child is in the hospital and help you spend more time at your child’s bedside. Children will need to travel to Primary Children’s Hospital to receive care for more complex cases, but many conditions can be cared for here.  We provide state-of-the art-cancer care and treatments close to home. If you have cancer, you may need frequent, regular treatments. Patients can receive chemotherapy, radiation therapy, and infusion/IV services significantly reducing commuting and treatment time during a period when you may have decreased energy and stamina. Riverton Hospital has received a Level IV trauma center designation from the Utah Bureau of Emergency Medical Services. Earning a Level IV trauma center designation certifies Riverton Hospital can provide advanced trauma life support to evaluate and stabilize patients before transferring them to a higher-level trauma center, if needed. Level IV trauma centers must also meet strict criteria and be equipped to provide advanced trauma life support at all times.","Intermountain Healthcare"
6,"Heber Valley Hospital","454 East Medical Way","Heber City","UT",84032,40.490279,-111.406677,NULL,NULL,"Heber Valley Hospital is a full-service community hospital dedicated to providing high-quality medical services to Wasatch County residents. Our services include emergency care, women and newborn services, orthopedic and general surgery, heart care, and cancer care. In 2020 we completed a five-year renovation project that enhanced access, privacy and improved the overall hospital experience.","Intermountain Healthcare"
7,"Alta View Hospital","9660 South 1300 East","Sandy","UT",84094,45.721867,-122.648132,NULL,5,"Alta View Hospital is committed to creating a healing environment in every way we can – through our talented caregivers, personalized medical care, and services offered, including Women’s Health Services, Labor and Delivery, Emergency Service & Trauma Care, Imaging, Lab, Acute and Intensive Care, Surgical Services, Physical Therapy, and other services like our sleep lab, heart care, and infusion services.","Intermountain Healthcare"
8,"The Orthopedic Specialty Hospital","5848 South 300 East","Murray","UT",84107,40.64427,-111.88513,NULL,NULL,"The Orthopedic Specialty Hospital in Murray, Utah, is Intermountain Healthcare’s home for comprehensive orthopedic healthcare and sports medicine excellence. Since 1991, our experienced and skilled physicians, APPs, and caregivers have served patients and athletes throughout Utah with a wide range of orthopedic specialties and services—all at one campus. A 40-bed specialty hospital, TOSH focuses on preventative care and offers efficient procedures and treatments for joints, back and neck, spine, and extremities with excellent outcomes and low costs. Our teams also offer services for care for arthritis, hearing, and balance. TOSH features Intermountain Sports Medicine and Sports Performance services. Along with treating sports-related injuries, we help athletes prevent sports-related injuries, identify and improve areas of weakness, create custom training and nutrition plans, and elevate all levels of athleticism.","Intermountain Healthcare"
9,"Intermountain Medical Center","5121 South Cottonwood Street","Murray","UT",84107,40.6562,-111.8877,NULL,5,"Typical high-end hospitals across the country were designed as “big boxes,” packed with technology and resources.Intermountain Medical Center contains five interconnected centers of excellence, including women’s/newborn care, heart/lung care, emergency/trauma care, outpatient care, and cancer care. At the center of all we do at the Medical Center is our intense focus on the patient. From the different advanced services provided, to the layout of our campus, and our use of the latest technologies, it’s all designed to create the best care and healing environment around. In short, it’s our goal to provide the absolute best patient experience.","Intermountain Healthcare"
10,"Park City Hospital","900 Round Valley Drive","Park City","UT",84060,40.6877,-111.4694,NULL,5,"Park City Hospital (formerly Park City Medical Center) is a full-service community hospital dedicated to serving the medical needs of the community with access to the most advanced medical knowledge and capabilities available.","Intermountain Healthcare"
11,"Primary Children's Hospital","100 North Mario Capecchi Drive","Salt Lake City","UT",84113,40.7711,-111.8388,NULL,NULL,"Our hospital is the only Level I Pediatric Trauma center serving a five-state region. Originally certified in 2002, we have been a pediatric trauma center for 15 consecutive years. We have one of the busiest trauma programs in the country. Our hospital has a 32-bed PICU, 16-bed CICU, 28-bed Neuro Trauma Unit, and 50-bed Level IV NICU. We have a dedicated pediatric and neonatal team that transports more than 1,500 patients each year.","Intermountain Healthcare"
12,"Lds Hospital","Eighth Avenue And 'c' Street","Salt Lake City","UT",84143,40.7789,-111.8795,NULL,5,"Intermountain LDS Hospital is a full-service hospital with a complete range of wellness, diagnostic, and treatment services for our community. For more than 115 years, LDS Hospital has provided high-quality clinical care, technological progress, exceptional efficiency and extraordinary personal service. This 262-bed facility is located just minutes from downtown Salt Lake City, and is integrated with Intermountain’s Life Flight air ambulance and TeleHealth Hospital. The hospital also services southern Davis County and Tooele County out to the Utah / Nevada state line.","Intermountain Healthcare"
13,"Sanpete Valley Hospital","1100 South Medical Drive","Mount Pleasant","UT",84647,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
14,"Bear River Valley Hospital","905 North 1000 West","Tremonton","UT",84337,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
15,"Ashley Regional Medical Center","150 West 100 North","Vernal","UT",84078,NULL,NULL,NULL,NULL,NULL,"LifePoint Health"
16,"Beaver Valley Hospital","1109 North 100 West","Beaver","UT",84713,NULL,NULL,NULL,NULL,NULL,NULL
17,"Blue Mountain Hospital","802 South 200 West, Suite A","Blanding","UT",84511,NULL,NULL,NULL,NULL,NULL,NULL
18,"Brigham City Community Hospital","950 South Medical Drive","Brigham City","UT",84302,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
19,"Cache Valley Hospital","2380 North 400 East","North Logan","UT",84341,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
20,"Castleview Hospital","300 North Hospital Drive","Price","UT",84501,NULL,NULL,NULL,NULL,NULL,"LifePoint Health"
21,"Cedar City Hospital","1303 North Main Street","Cedar City","UT",84721,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
22,"Cedar Orthopaedic Surgery Center","1335 Northfield Rd #150","Cedar City","UT",84721,NULL,NULL,NULL,NULL,NULL,NULL
23,"Central Valley Medical Center","48 West 1500 North","Nephi","UT",84648,NULL,NULL,NULL,NULL,NULL,NULL
24,"Davis Hospital and Medical Center","1600 West Antelope Drive","Layton","UT",84041,NULL,NULL,NULL,NULL,NULL,"Steward Health Care System"
25,"Delta Community Hospital","126 South White Sage Avenue","Delta","UT",84624,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
26,"Desert Peak Imaging","1490 E Foremaster Drive, Building C Suite 2","St. George","UT",84790,NULL,NULL,NULL,NULL,NULL,NULL
27,"Encompass Health Rehabilitation Hospital of Utah","8074 South 1300 East","Sandy","UT",84094,NULL,NULL,NULL,NULL,NULL,"Encompass Health"
28,"Epic Surgical","5450 South Green Street, Suite B","Murray","UT",84123,NULL,NULL,NULL,NULL,NULL,NULL
29,"Fillmore Community Hospital","674 South Highway 99","Fillmore","UT",84631,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
30,"Garfield Memorial Hospital","200 N 400th E","Panguitch","UT",84759,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
31,"Gunnison Valley Hospital","64 East 100 North","Gunnison","UT",84634,NULL,NULL,NULL,NULL,NULL,NULL
32,"Highland Ridge Hospital","7309 South 180 West","Midvale","UT",84047,NULL,NULL,NULL,NULL,NULL,NULL
33,"Intermountain Layton Hospital","201 W Layton Pkwy","Layton","UT",84041,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
34,"Intermountain St. George Hospital","1380 East Medical Center Drive","St. George","UT",84790,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
35,"Jordan Valley Medical Center","3580 West 9000 South","West Jordan","UT",84088,NULL,NULL,NULL,NULL,NULL,"Steward Health Care System"
36,"Jordan Valley Medical Center West Valley Campus","3460 South Pioneer Parkway","West Valley City","UT",84120,NULL,NULL,NULL,NULL,NULL,"Steward Health Care System"
37,"Kane County Hospital","355 North Main Street","Kanab","UT",84741,NULL,NULL,NULL,NULL,NULL,NULL
38,"Lakeview Hospital","630 East Medical Drive","Bountiful","UT",84010,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
39,"Landmark Hospital Of Salt Lake City","4252 South Birkhill Boulevard","Murray","UT",84107,NULL,NULL,NULL,NULL,NULL,NULL
40,"Logan Regional Hospital","1400 North 500 East","Logan","UT",84341,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
41,"Lone Peak Hospital","1925 South State Street","Draper","UT",84020,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
42,"Luna Physical Therapy - Salt Lake City Region",NULL,"Salt Lake City","UT",84044,NULL,NULL,NULL,NULL,NULL,"Luna On-Demand Physical Therapy"
43,"Marian Center","451 East Bishop Federal Lane","Salt Lake City","UT",84115,NULL,NULL,NULL,NULL,NULL,NULL
44,"Mckay-Dee Hospital","4401 Harrison Boulevard","Ogden","UT",84403,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
45,"Milford Valley Memorial Hospital","850 North Main Street","Milford","UT",84751,NULL,NULL,NULL,NULL,NULL,NULL
46,"Moab Regional Hospital","450 West Williams Way","Moab","UT",84532,NULL,NULL,NULL,NULL,NULL,NULL
47,"Mountain Point Medical Center","3000 N Triumph Blvd","Lehi","UT",84043,NULL,NULL,NULL,NULL,NULL,"Steward Health Care System"
48,"Mountain View Hospital","1000 East 100 North","Payson","UT",84651,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
49,"Mountain West Medical Center","2055 North Main Street","Tooele","UT",84074,NULL,NULL,NULL,NULL,NULL,"Quorum Health"
50,"Northern Utah Rehabilitation Hospital","5825 Harrison Boulevard","South Ogden","UT",84403,NULL,NULL,NULL,NULL,NULL,"Ernest Health"
51,"Ogden Regional Medical Center","5475 South 500 East","Ogden","UT",84405,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
52,"Promise Hospital Of Salt Lake","8 Avenue, C Street","Salt Lake City","UT",84143,NULL,NULL,NULL,NULL,NULL,NULL
53,"Provo Canyon Behavioral Hospital","1350 East 750 North","Orem","UT",84097,NULL,NULL,NULL,NULL,NULL,"Universal Health Services"
54,"Robotic Orthopaedic Institute","1490 East Foremaster Drive, Ste 260","St. George","UT",84790,NULL,NULL,NULL,NULL,NULL,NULL
55,"Salt Lake Behavioral Health","3802 South 700 East","Salt Lake City","UT",84106,NULL,NULL,NULL,NULL,NULL,"Universal Health Services"
56,"Salt Lake Regional Medical Center","1050 East South Temple","Salt Lake City","UT",84102,NULL,NULL,NULL,NULL,NULL,"Steward Health Care System"
57,"San Juan Health Services District","380 West 100 North","Monticello","UT",84535,NULL,NULL,NULL,NULL,NULL,NULL
58,"Sevier Valley Regional Medical Centr","1000 North Main Street","Richfield","UT",84701,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
59,"Shriners Hospitals for Children - Salt Lake City","1275 East Fairfax Road","Salt Lake City","UT",84103,NULL,NULL,NULL,NULL,NULL,"Shriners Hospitals for Children"
60,"South Davis Community Hospital","401 South 400 East","Bountiful","UT",84010,NULL,NULL,NULL,NULL,NULL,NULL
61,"Southern Utah MRI","1335 Northfield Rd #100","Cedar City","UT",84721,NULL,NULL,NULL,NULL,NULL,NULL
62,"St. George Surgical Center","676 South Bluff Street","St. George","UT",84770,NULL,NULL,NULL,NULL,NULL,NULL
63,"St. Marks Hospital","1200 East 3900 South","Salt Lake City","UT",84124,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
64,"Timpanogos Regional Hospital","750 West 800 North","Orem","UT",84057,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
65,"Uintah Basin Medical Center","250 West 300 North","Roosevelt","UT",84066,NULL,NULL,NULL,NULL,NULL,NULL
66,"U Of U Hospitals & Clinics","50 North Medical Drive","Salt Lake City","UT",84132,NULL,NULL,NULL,NULL,NULL,"University of Utah Hospitals and Clinics"
67,"U Of Utah Neuropsychiatric Institute","501 South Chipeta Way","Salt Lake City","UT",84108,NULL,NULL,NULL,NULL,NULL,"University of Utah Hospitals and Clinics"
68,"Utah Neuro Rehabilitation","1414 East 4500 South Suite 2","Salt Lake City","UT",84117,NULL,NULL,NULL,NULL,NULL,NULL
69,"Utah State Hospital","1300 East Center Street","Provo","UT",84606,NULL,NULL,NULL,NULL,NULL,NULL
70,"Utah Valley Specialty Hospital","306 River Bend Lane","Provo","UT",84604,NULL,NULL,NULL,NULL,NULL,"Ernest Health"
71,"Orange MD","5728 S 1475 E Suite 102","Ogden","UT",84403,NULL,NULL,NULL,NULL,NULL,NULL
